estado,llave,fn_dia,fn_mes
"01","01022005101","18","11"
"01","01022005102","02","02"
"01","01022005103","20","09"
"01","01022005104","06","03"
"01","01022005105","24","05"
"01","01022005106","23","10"
"01","01022501101","11","03"
"01","01022501102","23","06"
"01","01022501103","22","06"
"01","01022501104","16","04"
"01","01022501105","28","04"
"01","01022501106","16","12"
"01","01022502101","14","05"
"01","01022502103","27","01"
"01","01022502104","09","01"
"01","01022502105","16","11"
"01","01022502106","26","09"
"01","01022502107","05","05"
"01","01022502108","05","05"
"01","01022502109","25","05"
"01","01022503101","30","08"
"01","01022503102","05","12"
"01","01022503103","18","09"
"01","01022503104","01","05"
"01","01022503105","09","05"
"01","01022503106","18","08"
"01","01022503107","17","10"
"01","01022503108","17","10"
"01","01022503109","03","09"
"01","01022503110","16","02"
"01","01022505101","18","03"
"01","01022505102","12","12"
"01","01022505103","22","06"
"01","01023702101","11","12"
"01","01023702102","11","07"
"01","01023702201","10","12"
"01","01023702202","07","12"
"01","01023702203","02","10"
"01","01023704101","30","09"
"01","01023704102","03","06"
"01","01023704103","21","11"
"01","01023704104","14","12"
"01","01023704105","13","06"
"01","01023704106","08","03"
"01","01023705101","28","05"
"01","01023705102","19","10"
"01","01023705103","01","12"
"01","01023705104","20","09"
"01","01024701101","07","12"
"01","01024701102","10","09"
"01","01024701103","14","10"
"01","01024701104","11","02"
"01","01024701105","07","02"
"01","01024703101","01","11"
"01","01024703102","30","06"
"01","01024703103","09","07"
"01","01024703105","22","03"
"01","01024703106","25","07"
"01","01024704101","29","07"
"01","01024705101","25","07"
"01","01024705102","16","07"
"01","01025501101","05","09"
"01","01025501102","14","10"
"01","01025502101","30","10"
"01","01025503101","21","01"
"01","01025503102","25","07"
"01","01025503103","16","04"
"01","01025503104","11","07"
"01","01025504101","04","07"
"01","01025505101","23","01"
"01","01025505102","28","11"
"01","01025701101","14","04"
"01","01025701102","25","04"
"01","01025701103","09","04"
"01","01025702101","19","06"
"01","01025702102","09","02"
"01","01025702103","25","03"
"01","01025703101","13","07"
"01","01025703102","31","05"
"01","01025703103","02","12"
"01","01025703104","26","04"
