iter,time,f(xk),||Df(xk)||
588,0.000097,1.657328e+02,6.24630142
589,0.000093,1.657149e+02,5.14005536
590,0.000100,1.657026e+02,9.07164161
591,0.000096,1.656786e+02,6.88202989
592,0.000091,1.656598e+02,5.50455244
593,0.000101,1.656542e+02,10.32698288
594,0.001362,1.656269e+02,7.68828394
595,0.000094,1.656067e+02,5.99022287
596,0.000097,1.655900e+02,4.95092474
597,0.000090,1.655780e+02,8.69139887
598,0.000095,1.655556e+02,6.61809990
599,0.000088,1.655380e+02,5.31592770
600,0.000096,1.655320e+02,9.92558889
601,0.000090,1.655065e+02,7.41375037
602,0.000098,1.654874e+02,5.79916028
603,0.000090,1.654715e+02,4.81310335
604,0.000100,1.654595e+02,8.40409829
605,0.000112,1.654383e+02,6.42197728
606,0.000102,1.654214e+02,5.17908454
607,0.000146,1.654150e+02,9.62383302
608,0.000138,1.653908e+02,7.21042502
609,0.000107,1.653725e+02,5.66074746
610,0.000104,1.653571e+02,4.71612208
611,0.000103,1.653450e+02,8.19248279
612,0.000098,1.653246e+02,6.28027389
613,0.000094,1.653083e+02,5.08278339
614,0.000115,1.653015e+02,9.40371227
615,0.000096,1.652781e+02,7.06456179
616,0.000095,1.652603e+02,5.56368871
617,0.000096,1.652453e+02,4.65001338
618,0.000095,1.652331e+02,8.04280850
619,0.000097,1.652132e+02,6.18202858
620,0.000100,1.651972e+02,5.01763932
621,0.001389,1.651901e+02,9.25162505
622,0.000082,1.651673e+02,6.96567890
623,0.000086,1.651499e+02,5.49933522
624,0.000088,1.651351e+02,4.60719074
625,0.000097,1.651228e+02,7.94507681
626,0.000092,1.651033e+02,6.11932146
627,0.000091,1.650875e+02,4.97696565
628,0.000096,1.650802e+02,9.15798156
629,0.000104,1.650577e+02,6.90648936
630,0.000092,1.650405e+02,5.46179589
631,0.000107,1.650403e+02,10.64788915
632,0.000098,1.650136e+02,7.89349774
633,0.000092,1.649943e+02,6.08746299
634,0.000090,1.649786e+02,4.95676377
635,0.000096,1.649713e+02,9.11728161
636,0.000093,1.649490e+02,6.88281764
637,0.000090,1.649319e+02,5.44770463
638,0.000096,1.649316e+02,10.62417287
639,0.000091,1.649051e+02,7.88239311
640,0.000092,1.648858e+02,6.08253210
641,0.000096,1.648703e+02,4.95414508
642,0.000108,1.648630e+02,9.12458011
643,0.000093,1.648408e+02,6.89126716
644,0.000100,1.648237e+02,5.45462003
645,0.000093,1.648092e+02,4.57772765
646,0.000094,1.647971e+02,7.90885174
647,0.000093,1.647778e+02,6.10250324
648,0.001286,1.647622e+02,4.96762477
649,0.000075,1.647553e+02,9.17727729
650,0.000071,1.647329e+02,6.93011087
651,0.000095,1.647158e+02,5.48135132
652,0.000089,1.647012e+02,4.59467060
653,0.000089,1.646894e+02,7.97328517
654,0.000090,1.646700e+02,6.14747591
655,0.000089,1.646543e+02,4.99712310
656,0.000093,1.646478e+02,9.27585193
657,0.000090,1.646252e+02,6.99969377
658,0.000090,1.646080e+02,5.52811874
659,0.000095,1.645933e+02,4.62433674
660,0.000093,1.645819e+02,8.07552368
661,0.000109,1.645623e+02,6.21753392
662,0.000099,1.645465e+02,5.04278873
